"","train_sender","train_topic1"
"1",2,4
"2",3,4
"3",2,4
"4",1,4
"5",1,4
"6",2,4
"7",2,4
"8",2,4
"9",1,4
"10",1,4
"11",2,4
"12",2,4
"13",3,1
"14",3,7
"15",3,7
"16",2,3
"17",3,3
"18",3,7
"19",3,7
"20",3,7
"21",2,2
"22",3,7
"23",3,7
"24",4,1
"25",3,7
"26",3,7
"27",3,1
"28",2,2
"29",3,4
"30",2,3
"31",2,3
"32",2,7
"33",4,3
"34",2,3
"35",2,7
"36",2,7
"37",2,3
"38",2,7
"39",2,7
"40",3,3
"41",4,1
"42",2,5
"43",4,4
"44",3,3
"45",1,3
"46",4,3
"47",5,3
"48",4,3
"49",2,2
"50",3,5
"51",3,7
"52",2,3
"53",4,3
"54",2,2
"55",3,7
"56",3,3
"57",3,7
"58",2,1
"59",3,7
"60",2,7
"61",3,7
"62",2,5
"63",2,3
"64",2,7
"65",2,5
"66",3,4
"67",3,1
"68",3,7
"69",3,3
"70",2,2
"71",2,3
"72",2,7
"73",3,7
"74",5,3
"75",3,3
"76",3,3
"77",3,3
"78",2,1
"79",2,5
"80",3,7
"81",3,7
"82",1,3
"83",2,3
"84",3,7
"85",3,7
"86",5,3
"87",4,3
"88",2,3
"89",4,3
"90",2,3
"91",4,7
"92",2,5
"93",2,3
"94",3,7
"95",1,3
"96",2,2
"97",3,3
"98",4,7
"99",3,7
"100",3,7
"101",4,3
"102",4,3
"103",2,6
"104",3,3
"105",3,3
"106",2,3
"107",1,7
"108",2,2
"109",2,3
"110",3,7
"111",3,3
"112",3,7
"113",2,3
"114",4,3
"115",3,3
"116",3,7
"117",3,7
"118",3,7
"119",3,3
"120",4,7
"121",3,2
"122",2,2
"123",3,7
"124",3,7
"125",2,7
"126",2,3
"127",3,7
"128",2,3
"129",2,3
"130",2,5
"131",3,1
"132",1,7
"133",3,3
"134",3,6
"135",3,6
"136",3,6
"137",2,7
"138",3,3
"139",4,6
"140",3,2
"141",3,7
"142",2,3
"143",3,7
"144",3,7
"145",3,7
"146",3,5
"147",1,6
"148",3,2
"149",2,1
"150",2,1
"151",3,7
"152",3,3
"153",3,7
"154",3,7
"155",2,1
"156",2,1
"157",3,3
"158",3,7
"159",4,7
"160",2,7
"161",2,7
"162",2,7
"163",2,7
"164",2,7
"165",2,7
"166",4,3
"167",3,7
"168",3,7
"169",2,4
"170",5,3
"171",2,7
"172",3,3
"173",3,7
"174",3,7
"175",1,3
"176",3,2
"177",2,2
"178",4,7
"179",2,2
"180",3,7
"181",3,7
"182",3,7
"183",3,7
"184",3,7
"185",4,3
"186",3,7
"187",3,7
"188",3,7
"189",3,7
"190",3,7
"191",3,7
"192",3,7
"193",3,7
"194",3,7
"195",3,7
"196",5,2
"197",5,2
"198",4,1
"199",5,6
"200",5,5
"201",5,5
"202",2,2
"203",3,3
"204",1,1
"205",2,7
"206",3,2
"207",3,3
"208",5,2
"209",3,6
"210",3,3
"211",1,3
"212",3,7
"213",5,2
"214",3,2
"215",3,1
"216",3,6
"217",4,1
"218",3,7
"219",4,1
"220",3,7
"221",4,7
"222",3,7
"223",2,7
"224",3,7
"225",2,7
"226",2,2
"227",3,7
"228",2,7
"229",3,7
"230",2,1
"231",2,2
"232",3,2
"233",5,5
"234",4,7
"235",3,1
"236",2,1
"237",5,1
"238",1,7
"239",2,7
"240",5,2
"241",3,7
"242",1,7
"243",4,7
"244",2,3
"245",1,7
"246",3,3
"247",3,3
"248",4,6
"249",2,2
"250",2,2
"251",3,7
"252",3,1
"253",3,7
"254",3,1
"255",3,1
"256",3,7
"257",3,7
"258",2,3
"259",2,3
"260",1,5
"261",3,7
"262",3,1
"263",1,1
"264",1,7
"265",1,2
"266",1,2
"267",3,6
"268",1,7
"269",3,7
"270",3,1
"271",3,1
"272",3,7
"273",3,7
"274",2,3
"275",3,7
"276",2,2
"277",4,7
"278",3,7
"279",4,3
"280",3,7
"281",1,7
"282",1,3
"283",3,2
"284",3,3
"285",2,7
"286",2,1
"287",1,7
"288",1,3
"289",3,7
"290",1,7
"291",1,6
"292",1,2
"293",5,7
"294",3,7
"295",5,7
"296",5,6
"297",2,7
"298",3,1
"299",3,1
"300",3,3
"301",3,7
"302",2,7
"303",2,2
"304",3,7
"305",2,6
"306",1,1
"307",4,7
"308",4,1
"309",1,1
"310",1,7
"311",2,1
"312",2,2
"313",2,1
"314",4,7
"315",2,1
"316",1,2
"317",3,2
"318",2,1
"319",1,7
"320",2,7
"321",3,1
"322",4,7
"323",3,3
"324",3,7
"325",1,1
"326",1,2
"327",2,7
"328",3,7
"329",2,3
"330",1,1
"331",1,2
"332",2,2
"333",4,7
"334",4,1
"335",4,1
"336",4,7
"337",3,7
"338",2,1
"339",2,7
"340",3,1
"341",3,3
"342",2,1
"343",3,1
"344",3,2
"345",2,7
"346",1,7
"347",2,7
"348",2,7
"349",3,3
"350",3,3
"351",3,1
"352",3,7
"353",3,7
"354",1,2
"355",3,7
"356",3,2
"357",3,7
"358",3,7
"359",3,7
"360",5,7
"361",5,6
"362",3,2
"363",3,1
"364",4,7
"365",3,7
"366",5,6
"367",4,7
"368",2,2
"369",2,5
"370",2,1
"371",3,7
"372",3,7
"373",3,7
"374",1,7
"375",2,1
"376",3,7
"377",2,1
"378",2,1
"379",1,6
"380",3,7
"381",3,1
"382",2,1
"383",1,1
"384",2,1
"385",4,7
"386",1,1
"387",5,4
"388",1,7
"389",5,4
"390",1,4
"391",3,7
"392",3,7
"393",1,7
"394",4,3
"395",2,1
"396",2,1
"397",3,1
"398",1,1
"399",4,3
"400",5,5
"401",2,3
"402",2,2
"403",5,6
"404",1,1
"405",1,7
"406",2,7
"407",2,7
"408",2,3
"409",3,7
"410",3,1
"411",5,6
"412",3,7
"413",3,4
"414",5,6
"415",5,6
"416",3,7
"417",3,7
"418",2,3
"419",3,1
"420",1,1
"421",2,1
"422",2,7
"423",2,7
"424",2,1
"425",5,5
"426",5,5
"427",3,7
"428",3,6
"429",2,7
"430",3,7
"431",3,5
"432",3,7
"433",1,7
"434",3,7
"435",4,1
"436",3,1
"437",5,2
"438",3,3
"439",3,1
"440",2,1
"441",1,1
"442",3,3
"443",3,3
"444",2,1
"445",3,1
"446",3,3
"447",3,1
"448",3,1
"449",1,2
"450",2,1
"451",3,3
"452",3,5
"453",3,7
"454",3,3
"455",1,2
"456",4,1
"457",4,7
"458",2,1
"459",2,7
"460",2,1
"461",3,5
"462",2,1
"463",2,1
"464",2,1
"465",2,7
"466",3,1
"467",3,2
"468",2,3
"469",2,2
"470",3,3
"471",3,7
"472",1,3
"473",1,3
"474",1,3
"475",2,2
"476",3,7
"477",1,2
"478",1,3
"479",1,7
"480",1,7
"481",1,7
"482",1,3
"483",1,3
"484",1,7
"485",1,1
"486",1,5
"487",1,4
"488",3,1
"489",4,6
"490",1,7
"491",1,7
"492",5,4
"493",3,1
"494",1,6
"495",1,7
"496",1,3
"497",1,2
"498",3,2
"499",3,3
"500",3,1
"501",2,2
"502",2,7
"503",2,2
"504",3,7
"505",3,7
"506",3,1
"507",4,7
"508",3,7
"509",2,6
"510",5,5
"511",2,1
"512",2,2
"513",2,5
"514",2,7
"515",2,5
"516",3,1
"517",2,3
"518",1,3
"519",1,1
"520",5,5
"521",2,1
"522",5,6
"523",2,6
"524",1,6
"525",1,6
"526",3,6
"527",1,3
"528",4,7
"529",3,1
"530",3,7
"531",3,3
"532",3,2
"533",3,1
"534",3,2
"535",4,3
"536",1,6
"537",1,3
"538",3,3
"539",3,2
"540",4,3
"541",4,3
"542",5,6
"543",4,3
"544",3,3
"545",3,7
"546",2,3
"547",1,5
"548",1,3
"549",1,7
"550",5,6
"551",3,7
"552",4,7
"553",3,7
"554",4,7
"555",2,3
"556",1,7
"557",1,1
"558",1,1
"559",1,7
"560",2,7
"561",1,7
"562",1,7
"563",1,7
"564",2,7
"565",3,7
"566",5,1
"567",2,3
"568",2,2
"569",1,1
"570",3,5
"571",3,3
"572",1,3
"573",1,7
"574",1,3
"575",1,3
"576",1,3
"577",5,6
"578",2,2
"579",5,2
"580",1,7
"581",2,2
"582",2,2
"583",2,2
"584",3,1
"585",2,1
"586",1,7
"587",5,2
"588",2,6
"589",3,6
"590",5,2
"591",2,7
"592",4,3
"593",5,1
"594",5,6
"595",1,2
