"","MeanDecreaseGini"
"num_words",40.062857309591
"qmarks_per_word",27.2155770025242
"hyphens_per_word",27.8784074625691
"aaron",0.0476238737190416
"abandon",0.0427379065304762
"abba",0.540492945168493
"abc",0.0167672413793103
"abd",0.0689393984742822
"abdel",0.0747639299016054
"abduct",0.0402948456633977
"abdul",0
"abdullah",0.313355507736853
"abdulrahman",0.00666666666666667
"abedin",1.52539515048189
"abid",0.0482251615318626
"abil",0.222822147279756
"abl",0.496773956384327
"aboard",0.0488544988305723
"abolit",0.025484943977591
"abort",0.0739053040915312
"aboul",0.0435491830306219
"abraham",0.0133333333333333
"abroad",0.0827557178109202
"abrupt",0.0650315424438384
"absenc",0.102657290151778
"absent",0.0180226553389972
"absolut",0.136306193532791
"abstain",0.0122976190476191
"abu",0.196319161199232
"abus",0.0501886694046012
"abz",0.0203171828171828
"academ",0.0963642794812135
"academi",0.0602314549347509
"accel",0.0312816091954023
"accept",0.486927185010717
"access",0.898524376948359
"accid",0.017537935015669
"accommod",0.0769792270174576
"accompani",0.074574946796785
"accomplish",0.26470511650697
"accord",0.629994708071555
"account",0.474301537096854
"accur",0.167624294049836
"accus",0.22339061468609
"aceh",0.00857142857142857
"acheson",0.0192635658914729
"achiev",0.247790133191324
"acknowledg",0.0898935744986738
"acquir",0.0849086160847088
"across",0.395011739879531
"act",0.585314859584422
"action",0.623580980342247
"activ",0.456503154025063
"activist",0.0400152788388082
"actor",0.00804761904761905
"actual",0.594605100786206
"acut",0.00133333333333334
"adam",0.19385013524478
"adapt",0.0284360516934044
"add",5.89693097741018
"addit",0.976788246577866
"address",2.59040749481327
"adequ",0.00997435897435898
"adjust",0.210902734250915
"administ",0.0151288056206089
"administr",0.90739168447439
"admir",0.152734047734947
"admit",0.0709071304110224
"adopt",0.0830888369300018
"adult",0
"advanc",0.387949870648157
"advantag",0.224858166895273
"adventur",0.0801821475683916
"adver",0.0465385500636275
"adversari",0.146915815959803
"adverti",0.0273383838383838
"advi",0.932931798466469
"advic",0.213976589648133
"advisor",0.286618838943241
"advisori",0.035435286460675
"advoc",0.110406484607434
"advocaci",0.0365143855557588
"affair",1.25015817911247
"affect",0.214856960318581
"affili",0.005
"affirm",0.0424226640891098
"afford",0.0448005179689067
"afghan",0.993607823376802
"afghanistan",0.576145113292994
"afp",0.0775673670003945
"afpak",0.649112787454228
"afraid",0.0320001012632592
"africa",0.565908564844786
"african",0.191658455095994
"africanamerican",0.0363345949898369
"aftermath",0.0635880510143214
"afternoon",0.85300581430336
"afterward",0.0809877259775944
"age",0.0455840684781481
"agenc",0.213975580446722
"agenda",0.415533372303148
"agent",0.0261846663974536
"aggress",0.230610104983681
"agi",1.3501948555572
"agnost",0
"ago",0.425453617256504
"agr",2.4542715135051
"agreement",3.58073532307843
"agricultur",0.0724656673304626
"ahead",0.788361262563721
"ahm",0.0437466063348416
"ahmadinejad",0.178862950704508
"ahmet",0.040192563927858
"aid",0.805379146954578
"aim",0.421162618627762
"aipac",0.236038742119115
"air",0.524657281338113
"aircraft",0.20484370023762
"airlin",0.103541422275019
"airport",0.752136772238909
"aisl",0
"ajc",0.10026866177461
"alan",0.172016451300061
"alarm",0.0467314149298026
"alberto",0.0157732320280538
"albright",0.155683299914786
"alcohol",0.0172018559913297
"alec",0.0424845902023391
"alert",0.22800673337837
"alex",0.104491633329675
"alexand",0.437533872319107
"ali",0.178363595858821
"alic",0.441706750203805
"alien",0.0129166666666667
"align",0.0330139942516061
"alik",0
"aliv",0.0687067633347045
"aliyev",0.0607474055261648
"aljuwali",0
"alleg",0.115871341034014
"allevi",0.0189957669600089
"alli",0.318679186070442
"allianc",0.315863139439201
"allist",0.0345850815850816
"alloc",0
"allow",0.715999271023781
"almegrahi",0.0545650826569944
"almost",0.323287069524347
"alon",0.281654115591303
"along",0.393063112287939
"alongsid",0.175730518549866
"alqaeda",0.0153260869565217
"alqaida",0.0307685004641522
"alreadi",1.04284906946864
"also",3.35006780128329
"alston",0.0203629343629347
"alter",0.0335245140480434
"altern",0.224382821502202
"although",0.210703873120863
"alumni",0.0146666666666667
"alvaro",0.0285581835150801
"alway",0.344155324092329
"amano",0.181082264572519
"amaz",0.194213166341741
"amb",0.577880638340866
"ambassador",1.06814993999507
"ambigu",0.0064102564102564
"ambit",0.119127092175496
"ambiti",0
"ambo",0.142543390939994
"amcit",0.445716871457081
"amen",1.72798260110037
"amend",0.0940575362105593
"america",0.853211021831531
"americagov",0.00791666666666667
"american",1.6856278316879
"ami",0.0516140874241625
"amid",0.142142663063886
"amman",0.233394183941065
"amnesti",0
"among",0.695476190153904
"amorim",0.0614125219848876
"amount",0.0975624792302184
"amplifi",0.10083098341143
"analysi",0.247736769042659
"analyst",0.0315892857142858
"analyt",0.0639828942194093
"anchor",0.0413576198107447
"anderson",0.0270285678565444
"andi",0.0403286440226253
"andor",0.462308914975932
"andrea",0.0918189610299684
"andrew",0.583284738789628
"angel",0.0846084592639735
"angela",0.0075
"anger",0.0838745356202124
"angl",0.0382756652313118
"angola",0.130302374838629
"angri",0.0452892257282391
"anim",0.0596136964886965
"ankara",0.0233999834615068
"ann",0.352215941887028
"annemari",0.261673359647948
"annex",0.00875
"anniversari",0.217171720986684
"announc",1.33996425756757
"annual",0.148511378614047
"anonym",0.228515807402106
"anoth",1.44426071053348
"ansar",0.0377301465304562
"answer",0.398450208957354
"ant",0.00720192213506935
"anthoni",0.122629417400115
"anti",0.0727113228470705
"antiamerican",0.0130650154798762
"anticip",0.131341428396185
"antigay",0
"antigovern",0.015
"antimuslim",0
"antisemit",0.0862610416447553
"anwar",0.0288845170836696
"anxieti",0.0162121212121212
"anxious",0.0632546025090856
"anybodi",0.0400715160488411
"anyon",0.50643574997693
"anyth",0.986641280109377
"anytim",0.535456562701424
"anyway",0.441649883079819
"anywh",0.174299412773675
"apart",0.152462024901813
"apocalypt",0
"apolog",0.311602511373532
"appal",0.0340636529275867
"appar",0.831826834147826
"apparatus",0.017724358974359
"appea",0
"appeal",0.311702008931633
"appear",0.682269829175241
"appl",0.222073156579673
"applaud",0.0738184825281544
"applaus",0
"appli",0.101449773351439
"applic",0.083986563112821
"appoint",0.362825273193285
"appreci",0.751173409518958
"approach",0.798679057443854
"appropri",0.407249358255425
"approv",0.60110959261726
"approx",0.0572462052288847
"approxim",0.245720899473368
"apr",1.52414775659491
"april",6.14328238188432
"aquino",0
"arab",1.3105312055205
"arabia",0.218468267737495
"arbitrari",0.00833333333333333
"arcan",0
"architect",0.0658370092551128
"architectur",0.204955616726779
"arctic",0.00590476190476191
"ardent",0.0229975960049999
"area",0.269384955141982
"arena",0.005
"arent",0.340953701259247
"argentin",0.18578061622718
"argentina",0.435312348512833
"argu",0.327376697121356
"argument",0.273320558746494
"ari",0.0476990614537079
"aria",0.0593235283671536
"arizona",0.00795833333333333
"arm",0.392539853541746
"armenia",0.0927944386442189
"armenian",0.213851656086076
"armey",0
"armi",0.162950122202952
"armitag",0.339811879950574
"around",0.950583496297056
"arrang",0.343362584854185
